year,stock,capture,effort
1950,Lobatus gigas,100,6000
1950,Lobatus gigas_2,62,17
1950,Lutjanus synagris,500,52710.2
1950,Ocyurus chrysurus,500,52710.223
1950,Panulirus argus,1300,8000
1950,Panulirus argus_2,300,400
1950,Panulirus argus_3,807,0.1
1951,Lobatus gigas,100,10000
1951,Lobatus gigas_2,62,17
1951,Lutjanus synagris,500,52710.2
1951,Ocyurus chrysurus,500,52710.223
1951,Panulirus argus,1100,10000
1951,Panulirus argus_2,300,500
1951,Panulirus argus_3,1505,0.1
1952,Lobatus gigas,100,14000
1952,Lobatus gigas_2,62,17
1952,Lutjanus synagris,500,52710.2
1952,Ocyurus chrysurus,500,52710.223
1952,Panulirus argus,1300,12000
1952,Panulirus argus_2,300,600
1952,Panulirus argus_3,831,0.11
1953,Lobatus gigas,200,18000
1953,Lobatus gigas_2,62,17
1953,Lutjanus synagris,500,52710.2
1953,Ocyurus chrysurus,500,52710.223
1953,Panulirus argus,1200,14000
1953,Panulirus argus_2,300,700
1953,Panulirus argus_3,1005,0.12
1954,Lobatus gigas,200,22000
1954,Lobatus gigas_2,62,17
1954,Lutjanus synagris,500,52710.2
1954,Ocyurus chrysurus,500,52710.223
1954,Panulirus argus,1800,16000
1954,Panulirus argus_2,600,800
1954,Panulirus argus_3,983,0.13
1955,Lobatus gigas,200,26000
1955,Lobatus gigas_2,62,17
1955,Lutjanus synagris,500,52710.2
1955,Ocyurus chrysurus,500,52710.223
1955,Panulirus argus,2300,18000
1955,Panulirus argus_2,600,900
1955,Panulirus argus_3,1741,0.14
1956,Lobatus gigas,200,30000
1956,Lobatus gigas_2,62,17
1956,Lutjanus synagris,500,52710.2
1956,Ocyurus chrysurus,500,52710.223
1956,Panulirus argus,4400,20000
1956,Panulirus argus_2,600,1000
1956,Panulirus argus_3,2112,0.15
1957,Lobatus gigas,100,34000
1957,Lobatus gigas_2,62,17
1957,Lutjanus synagris,500,52710.2
1957,Ocyurus chrysurus,500,52710.223
1957,Panulirus argus,6900,22000
1957,Panulirus argus_2,900,1100
1957,Panulirus argus_3,2532,0.16
1958,Lobatus gigas,200,38000
1958,Lobatus gigas_2,62,17
1958,Lutjanus synagris,500,52710.2
1958,Ocyurus chrysurus,500,52710.223
1958,Panulirus argus,5600,24000
1958,Panulirus argus_2,1400,1200
1958,Panulirus argus_3,2040,0.17
1959,Lobatus gigas,300,42000
1959,Lobatus gigas_2,62,17
1959,Lutjanus synagris,1000,52710.2
1959,Ocyurus chrysurus,1000,52710.223
1959,Panulirus argus,8300,26000
1959,Panulirus argus_2,1500,1300
1959,Panulirus argus_3,2242,0.18
1960,Lobatus gigas,300,46000
1960,Lobatus gigas_2,62,17
1960,Lutjanus synagris,1000,52710.2
1960,Ocyurus chrysurus,1000,52710.223
1960,Panulirus argus,8400,28000
1960,Panulirus argus_2,1700,1400
1960,Panulirus argus_3,2192,0.19
1961,Lobatus gigas,150,50000
1961,Lobatus gigas_2,62,17
1961,Lutjanus synagris,1000,52710.2
1961,Ocyurus chrysurus,1000,52710.223
1961,Panulirus argus,8700,30000
1961,Panulirus argus_2,1800,1500
1961,Panulirus argus_3,1972,0.2
1962,Lobatus gigas,200,54000
1962,Lobatus gigas_2,62,17
1962,Lutjanus synagris,1700,52710.2
