stock,variable,year,mean,sd,lower,upper,status
Lobatus gigas,b_div_bmsy,2019,1.18955193159589,0.137590425449422,0.952998699682262,1.47956080509113,Fully fished
Lobatus gigas_2,b_div_bmsy,2019,0.992361049579255,0.144105240048503,0.785183106330342,1.25068409188701,Fully fished
Lutjanus synagris,b_div_bmsy,2019,0.95492137054186,0.133762664877561,0.773878199492523,1.18481952553074,Fully fished
Ocyurus chrysurus,b_div_bmsy,2019,0.634952706958801,0.129168352385819,0.517552752377556,0.78324393972151,Overfished
Panulirus argus,b_div_bmsy,2019,1.63202711734877,0.113774270755347,1.35605809367595,1.95490253639223,Underfished
Panulirus argus_2,b_div_bmsy,2019,1.0911050545944,0.110969050248164,0.918031507704026,1.29990996379301,Fully fished
Panulirus argus_3,b_div_bmsy,2019,1.02771584994032,0.126065055861063,0.843878997980384,1.26196292715715,Fully fished
