stock,year,bbmsy,ffmsy,bbmsy.effEdepP,ffmsy.effEdepP
Lobatus gigas,1950,1.54624364975161,0.0217212167528747,1.54624364975161,0.0217212167528747
Lobatus gigas,1951,1.38711957759155,0.0242129763083055,1.38711957759155,0.0242129763083055
Lobatus gigas,1952,1.20661909362995,0.027835042265054,1.20661909362995,0.027835042265054
Lobatus gigas,1953,1.34967651182116,0.0497693975924525,1.34967651182116,0.0497693975924525
Lobatus gigas,1954,1.21743326914197,0.055175580165773,1.21743326914197,0.055175580165773
Lobatus gigas,1955,1.03046623081798,0.0651865970267653,1.03046623081798,0.0651865970267653
Lobatus gigas,1956,0.850296848212243,0.0789989838010721,0.850296848212243,0.0789989838010721
Lobatus gigas,1957,0.615513609480982,0.0545662889522974,0.615513609480982,0.0545662889522974
Lobatus gigas,1958,0.727861210955639,0.0922876311128435,0.727861210955639,0.0922876311128435
Lobatus gigas,1959,0.835524934305546,0.120593505076876,0.835524934305546,0.120593505076876
Lobatus gigas,1960,0.754485539138245,0.133546469985517,0.754485539138245,0.133546469985517
Lobatus gigas,1961,0.534838239216232,0.0941956586300631,0.534838239216232,0.0941956586300631
Lobatus gigas,1962,0.510097540067922,0.131685769214016,0.510097540067922,0.131685769214016
Lobatus gigas,1963,0.473954248215648,0.141727998411058,0.473954248215648,0.141727998411058
Lobatus gigas,1964,0.416313070541198,0.161351136179075,0.416313070541198,0.161351136179075
Lobatus gigas,1965,0.336750474051887,0.0997364400557184,0.336750474051887,0.0997364400557184
Lobatus gigas,1966,0.463043083686352,0.145067682262417,0.463043083686352,0.145067682262417
Lobatus gigas,1967,0.744242836012445,0.225640690402623,0.744242836012445,0.225640690402623
Lobatus gigas,1968,0.851511073926681,0.15777266789558,0.851511073926681,0.15777266789558
Lobatus gigas,1969,1.18274007858575,0.227176158664861,1.18274007858575,0.227176158664861
Lobatus gigas,1970,1.31941133230195,0.203644110956139,1.31941133230195,0.203644110956139
Lobatus gigas,1971,1.51505792936761,0.221683229518688,1.51505792936761,0.221683229518688
Lobatus gigas,1972,1.62257801053378,0.248392076690071,1.62257801053378,0.248392076690071
Lobatus gigas,1973,1.49874334097551,0.246506001433608,1.49874334097551,0.246506001433608
Lobatus gigas,1974,1.29093311169436,0.230511215058126,1.29093311169436,0.230511215058126
Lobatus gigas,1975,1.19539409145013,0.228704852059371,1.19539409145013,0.228704852059371
Lobatus gigas,1976,1.24105230349754,0.195393085499186,1.24105230349754,0.195393085499186
Lobatus gigas,1977,1.89223606085969,0.358540428494838,1.89223606085969,0.358540428494838
Lobatus gigas,1978,1.86447776215167,0.317042539768572,1.86447776215167,0.317042539768572
Lobatus gigas,1979,1.66119989462947,0.309336818366753,1.66119989462947,0.309336818366753
Lobatus gigas,1980,1.43826291055713,0.288163491087348,1.43826291055713,0.288163491087348
Lobatus gigas,1981,1.33453983672305,0.284889841132635,1.33453983672305,0.284889841132635
Lobatus gigas,1982,1.38028029374463,0.305378541551554,1.38028029374463,0.305378541551554
Lobatus gigas,1983,1.49601548008379,0.339900549085457,1.49601548008379,0.339900549085457
Lobatus gigas,1984,1.54383350800907,0.387023702824174,1.54383350800907,0.387023702824174
Lobatus gigas,1985,1.27626499508689,0.370004104157178,1.27626499508689,0.370004104157178
Lobatus gigas,1986,0.973332424673464,0.301586793450997,0.973332424673464,0.301586793450997
Lobatus gigas,1987,0.960208044826996,0.345933825693332,0.960208044826996,0.345933825693332
Lobatus gigas,1988,0.951739115655523,0.377243586270418,0.951739115655523,0.377243586270418
Lobatus gigas,1989,0.905846962364844,0.308482528806695,0.905846962364844,0.308482528806695
Lobatus gigas,1990,1.07971580412743,0.390076831784236,1.07971580412743,0.390076831784236
Lobatus gigas,1991,1.23014986932117,0.425101528158573,1.23014986932117,0.425101528158573
Lobatus gigas,1992,1.24923140161691,0.42237224401758,1.24923140161691,0.42237224401758
Lobatus gigas,1993,1.21453185614707,0.436928380366923,1.21453185614707,0.436928380366923
Lobatus gigas,1994,1.08605792820241,0.4369696260149,1.08605792820241,0.4369696260149
Lobatus gigas,1995,0.939334950782976,0.366850366533062,0.939334950782976,0.366850366533062
Lobatus gigas,1996,1.02046143509108,0.363686985191602,1.02046143509108,0.363686985191602
Lobatus gigas,1997,1.36413385784621,0.474199807073535,1.36413385784621,0.474199807073535
Lobatus gigas,1998,1.22217906440096,0.51965937561718,1.22217906440096,0.51965937561718
Lobatus gigas,1999,0.91771623523067,0.38464171255571,0.91771623523067,0.38464171255571
Lobatus gigas,2000,1.13653247355504,0.515674505279199,1.13653247355504,0.515674505279199
Lobatus gigas,2001,1.2493099350692,0.532300746211208,1.2493099350692,0.532300746211208
Lobatus gigas,2002,1.08264243529715,0.428110736066921,1.08264243529715,0.428110736066921
Lobatus gigas,2003,1.22186281200744,0.486533666921907,1.22186281200744,0.486533666921907
Lobatus gigas,2004,1.40640857842995,0.501737572286191,1.40640857842995,0.501737572286191
Lobatus gigas,2005,1.36699076709954,0.524804735894628,1.36699076709954,0.524804735894628
Lobatus gigas,2006,1.35155460835495,0.580498790493595,1.35155460835495,0.580498790493595
Lobatus gigas,2007,1.25065729911862,0.52877324497356,1.25065729911862,0.52877324497356
Lobatus gigas,2008,1.23589559658963,0.565253979448707,1.23589559658963,0.565253979448707
Lobatus gigas,2009,1.24545848691611,0.674175290100881,1.24545848691611,0.674175290100881
Lobatus gigas,2010,1.315803916139,0.611331003591447,1.315803916139,0.611331003591447
Lobatus gigas,2011,1.47487837941422,0.662216917483563,1.47487837941422,0.662216917483563
